vacancy name,vacancy link,salary,suite_info,city
CG программист (Python/C++),https://hh.ru/vacancy/26680990?query=Python,нет сведений о заработной плате, Группа компаний «Триумф»,"Москва, Пролетарская"
Python разработчик,https://hh.ru/vacancy/38979914?query=Python,нет сведений о заработной плате, Selecty,Москва
Python Developer,https://hh.ru/vacancy/38848417?query=Python,"{'minimum': 3000, 'maximum': 4000, 'currency': 'USD'}", HR Development,Москва
Python разработчик,https://hh.ru/vacancy/38935608?query=Python,нет сведений о заработной плате, Star-staff,Москва
Python developer,https://hh.ru/vacancy/38995198?query=Python,нет сведений о заработной плате, Selecty,Москва
Python-разработчик,https://hh.ru/vacancy/38801313?query=Python,нет сведений о заработной плате,"ПАО «МТС»,IT","Москва, Комсомольская и еще 2 "
Программист Python,https://hh.ru/vacancy/35870480?query=Python,нет сведений о заработной плате,АО РТИ,"Москва, Динамо"
Senior Python Developer,https://hh.ru/vacancy/38318117?query=Python,нет сведений о заработной плате, ДомКлик,"Москва, Кутузовская"
Программист Python (Middle),https://hh.ru/vacancy/38566344?query=Python,"{'minimum': 'нет сведений', 'maximum': 250000, 'currency': 'руб.'}",ООО РАБЛЗ,Москва
Senior python developer,https://hh.ru/vacancy/37583293?query=Python,нет сведений о заработной плате, Руформ,"Москва, Проспект Мира и еще 1 "
Разработчик Python,https://hh.ru/vacancy/37053392?query=Python,нет сведений о заработной плате, Электронная торговая площадка Газпромбанка,Москва
Django/Python разработчик (Middle Backend Developer),https://hh.ru/vacancy/38588058?query=Python,нет сведений о заработной плате,ООО ЛПГЕНЕРАТОР,Москва
Инженер по автоматизации тестирования (Python),https://hh.ru/vacancy/38616793?query=Python,нет сведений о заработной плате, Positive Technologies,Москва
Python developer (Data Engineer),https://hh.ru/vacancy/33647219?query=Python,нет сведений о заработной плате, Admitad,"Москва, Дмитровская"
Разработчик Python,https://hh.ru/vacancy/38453029?query=Python,нет сведений о заработной плате,ООО ИЦ АЙ-ТЕКО,Москва
Разработчик Python DevTools,https://hh.ru/vacancy/36167370?query=Python,нет сведений о заработной плате, Лаборатория Касперского,Москва
Automation QA Engineer (Python),https://hh.ru/vacancy/35433069?query=Python,нет сведений о заработной плате, Открытая мобильная платформа,Москва
Senior Python developer,https://hh.ru/vacancy/39069567?query=Python,нет сведений о заработной плате, ОНСЕК,Москва
Программист Python(Django),https://hh.ru/vacancy/38054244?query=Python,нет сведений о заработной плате, Kokoc Group,Москва
Automation QA Engineer (Python),https://hh.ru/vacancy/39045042?query=Python,нет сведений о заработной плате, Spice Agency,Москва
Python-разработчик,https://hh.ru/vacancy/38278738?query=Python,"{'minimum': 'нет сведений', 'maximum': 140000, 'currency': 'руб.'}","АО Точных Приборов, НИИ","Москва, Ботанический сад и еще 1 "
Python (Full-stack) разработчик,https://hh.ru/vacancy/38646404?query=Python,"{'minimum': 'нет сведений', 'maximum': 250000, 'currency': 'руб.'}",ООО Айтенд,"Москва, Авиамоторная"
Backend-разработчик (Python/Django),https://hh.ru/vacancy/38977337?query=Python,нет сведений о заработной плате, Сбербанк для экспертов,Москва
Программист,https://hh.ru/vacancy/38879745?query=Python,"{'minimum': 120000, 'maximum': 170000, 'currency': 'руб.'}",ООО КИБЕРБОРЕЯ,Москва
Backend программист (Python),https://hh.ru/vacancy/38845851?query=Python,нет сведений о заработной плате, Электронная торговая площадка Газпромбанка,Москва
Python-разработчик (MAPS.ME),https://hh.ru/vacancy/36792914?query=Python,нет сведений о заработной плате, Mail.ru Group,"Москва, Аэропорт"
Automation QA Engineer (Python),https://hh.ru/vacancy/37445343?query=Python,"{'minimum': 'нет сведений', 'maximum': 170000, 'currency': 'руб.'}", Star-staff,Москва
Pyth‎on Developer,https://hh.ru/vacancy/37430732?query=Python,нет сведений о заработной плате, Циан,"Москва, Преображенская площадь"
QA Automation Engineer (Python),https://hh.ru/vacancy/38946858?query=Python,нет сведений о заработной плате, WakeApp,"Москва, Бауманская"
Разработчик Python,https://hh.ru/vacancy/38511802?query=Python,нет сведений о заработной плате," Русские базовые информационные технологии, Научно-производственное объединение","Москва, Нагатинская"
Наставник онлайн-курса по Python / JavaScript / PHP на Хекслете,https://hh.ru/vacancy/38730078?query=Python,нет сведений о заработной плате, Hexlet,Москва
QA Automation Engineer/Python (Центральные логистические системы),https://hh.ru/vacancy/32695277?query=Python,нет сведений о заработной плате, Ozon Информационные технологии,"Москва, Деловой центр и еще 1 "
Full-stack веб-программист python/javascript,https://hh.ru/vacancy/37566148?query=Python,нет сведений о заработной плате, ФГБУ ЦСП ФМБА России,Москва
Программист Python,https://hh.ru/vacancy/38157850?query=Python,"{'minimum': 180000, 'maximum': 300000, 'currency': 'руб.'}", HR Development,Москва
Python разработчик,https://hh.ru/vacancy/38923564?query=Python,нет сведений о заработной плате,"ПАО «МТС»,IT",Москва
Разработчик Python,https://hh.ru/vacancy/37545437?query=Python,нет сведений о заработной плате, Тинькофф,"Москва, Водный стадион"
Программист Python (Senior),https://hh.ru/vacancy/38576811?query=Python,нет сведений о заработной плате,ООО РАБЛЗ,Москва
Data Scientist (ML/CV),https://hh.ru/vacancy/38742848?query=Python,"{'minimum': 180000, 'maximum': 200000, 'currency': 'руб.'}",ООО Искусственный интеллект,Москва
Python разработчик в myTarget,https://hh.ru/vacancy/38323541?query=Python,нет сведений о заработной плате, Mail.ru Group,"Москва, Аэропорт"
Python-разработчик,https://hh.ru/vacancy/38081405?query=Python,"{'minimum': 140000, 'maximum': 200000, 'currency': 'руб.'}", ivi,"Москва, Дмитровская"
Разработчик Python (RuBackup),https://hh.ru/vacancy/38826401?query=Python,нет сведений о заработной плате," Русские базовые информационные технологии, Научно-производственное объединение","Москва, Верхние Котлы и еще 1 "
Python developer,https://hh.ru/vacancy/38935014?query=Python,нет сведений о заработной плате, РБК,Москва
QA Engineer (Python),https://hh.ru/vacancy/38615871?query=Python,нет сведений о заработной плате, Orange Business Services,"Москва, Выставочная и еще 2 "
Back-end Python/Django в сильный проект на всю страну,https://hh.ru/vacancy/38817547?query=Python,"{'minimum': 80000, 'maximum': 150000, 'currency': 'руб.'}",ООО БВС,"Москва, Митино"
QA Automation Python,https://hh.ru/vacancy/34596119?query=Python,нет сведений о заработной плате, X5 RETAIL GROUP,"Москва, Парк культуры"
Senior python разработчик,https://hh.ru/vacancy/36493185?query=Python,нет сведений о заработной плате,ООО Инконсалт,Москва
Ведущий Python-разработчик,https://hh.ru/vacancy/38921844?query=Python,нет сведений о заработной плате,ООО НТехЛаб,"Москва, Белорусская и еще 2 "
Python разработчик (Django),https://hh.ru/vacancy/38705473?query=Python,"{'minimum': 120000, 'maximum': 'нет сведений', 'currency': 'руб.'}",ООО Апптимизм,Москва
Software Engineer (Computer Vision systems),https://hh.ru/vacancy/38539036?query=Python,нет сведений о заработной плате,ООО Константа,"Москва, Красносельская"
DevOps,https://hh.ru/vacancy/38542346?query=Python,нет сведений о заработной плате, Business & Decision,Москва
Python Developer (Django+JS),https://hh.ru/vacancy/38993329?query=Python,нет сведений о заработной плате, Vivid Money,"Москва, Динамо"
