vacancy name,vacancy link,salary,suite_info,city
Преподаватель Python & Data Science и Machine Learning,https://hh.ru/vacancy/36437887?query=Python,"{'minimum': 150000, 'maximum': 'нет сведений', 'currency': 'руб.'}", Центр компьютерного обучения СПЕЦИАЛИСТ при МГТУ им. Н.Э.Баумана,"Москва, Бауманская"
Разработчик C++ (Real-time Computer Vision),https://hh.ru/vacancy/38854104?query=Python,"{'minimum': 150000, 'maximum': 200000, 'currency': 'руб.'}",ООО Пятый вид мультимедиа,"Москва, Площадь Ильича и еще 1 "
Python Django разработчик,https://hh.ru/vacancy/39020203?query=Python,нет сведений о заработной плате,ООО Юником,Москва
Ведущий программист (Python),https://hh.ru/vacancy/37729816?query=Python,нет сведений о заработной плате, Admitad,"Москва, Дмитровская"
Python-разработчик (full stack),https://hh.ru/vacancy/38784499?query=Python,нет сведений о заработной плате, Akvelon,Москва
Программист Python (Middle),https://hh.ru/vacancy/38566344?query=Python,"{'minimum': 'нет сведений', 'maximum': 250000, 'currency': 'руб.'}",ООО РАБЛЗ,Москва
Разработчик Python,https://hh.ru/vacancy/38399892?query=Python,нет сведений о заработной плате, ИТЕРАНЕТ,"Москва, Киевская"
Python backend developer,https://hh.ru/vacancy/39067708?query=Python,нет сведений о заработной плате,ООО InStat,Москва
Python/Go Developer,https://hh.ru/vacancy/38318107?query=Python,нет сведений о заработной плате, ДомКлик,"Москва, Кутузовская"
Python developer,https://hh.ru/vacancy/37609721?query=Python,нет сведений о заработной плате, Admitad,"Москва, Дмитровская"
QA Engineer (Python),https://hh.ru/vacancy/38878778?query=Python,нет сведений о заработной плате,ООО Т8,Москва
Python backend инженер,https://hh.ru/vacancy/38855190?query=Python,"{'minimum': 100000, 'maximum': 160000, 'currency': 'руб.'}", Bugout,Москва
QA Engineer (Python),https://hh.ru/vacancy/38615871?query=Python,нет сведений о заработной плате, Orange Business Services,"Москва, Выставочная и еще 2 "
Python - разработчик,https://hh.ru/vacancy/38813121?query=Python,нет сведений о заработной плате," DataLine, Компания","Москва, Авиамоторная и еще 3 "
Data Engineer (удаленно),https://hh.ru/vacancy/39016601?query=Python,нет сведений о заработной плате, Iteora,Москва
Ведущий программист Python,https://hh.ru/vacancy/36618179?query=Python,нет сведений о заработной плате,ООО ФК ПУЛЬС,Москва
CG программист (Python/C++),https://hh.ru/vacancy/26680990?query=Python,нет сведений о заработной плате, Группа компаний «Триумф»,"Москва, Пролетарская"
Python Developer,https://hh.ru/vacancy/39018762?query=Python,"{'minimum': 'нет сведений', 'maximum': 200000, 'currency': 'руб.'}",ООО Аврора Инфинити,"Москва, Деловой центр"
Senior Python Developer,https://hh.ru/vacancy/38318117?query=Python,нет сведений о заработной плате, ДомКлик,"Москва, Кутузовская"
Программист Python (Django),https://hh.ru/vacancy/39018086?query=Python,нет сведений о заработной плате,ООО ИК СИБИНТЕК,"Москва, Тимирязевская"
Программист Python,https://hh.ru/vacancy/38429768?query=Python,"{'minimum': 70000, 'maximum': 'нет сведений', 'currency': 'руб.'}", TrueConf,"Москва, Электрозаводская"
Senior python developer,https://hh.ru/vacancy/37583293?query=Python,нет сведений о заработной плате, Руформ,"Москва, Проспект Мира и еще 1 "
Разработчик Python,https://hh.ru/vacancy/37706591?query=Python,нет сведений о заработной плате,ООО «Баланс-Платформа»,Москва
Python + Go разработчик (можно удаленно),https://hh.ru/vacancy/38742167?query=Python,"{'minimum': 'нет сведений', 'maximum': 180000, 'currency': 'руб.'}", ivi,"Москва, Дмитровская"
Python Developer,https://hh.ru/vacancy/38448140?query=Python,"{'minimum': 'нет сведений', 'maximum': 130000, 'currency': 'руб.'}", AmazingHiring,"Москва, Верхние Котлы и еще 1 "
Senior Python developer,https://hh.ru/vacancy/39069567?query=Python,нет сведений о заработной плате, ОНСЕК,Москва
Python developer (Data Engineer),https://hh.ru/vacancy/33647219?query=Python,нет сведений о заработной плате, Admitad,"Москва, Дмитровская"
Data scientist/Python,https://hh.ru/vacancy/38981353?query=Python,нет сведений о заработной плате, МИА Россия сегодня,"Москва, Парк культуры и еще 1 "
